return_code,line_item_code,line_item_desc,parent_line_item_code,hierarchy_level,is_subtotal,expected_sign,note
E3,3336,,,,,,NEEDS REVIEW: appears in real filings but not covered by any pure-addition validation rule found -- parent/is_subtotal unknown
E3,3337,,,,,,NEEDS REVIEW: appears in real filings but not covered by any pure-addition validation rule found -- parent/is_subtotal unknown
E3,3344,,,,,,NEEDS REVIEW: appears in real filings but not covered by any pure-addition validation rule found -- parent/is_subtotal unknown
E3,3345,,,,,,NEEDS REVIEW: appears in real filings but not covered by any pure-addition validation rule found -- parent/is_subtotal unknown
E3,3346,,,,,,NEEDS REVIEW: appears in real filings but not covered by any pure-addition validation rule found -- parent/is_subtotal unknown
E3,3347,,,,,,NEEDS REVIEW: appears in real filings but not covered by any pure-addition validation rule found -- parent/is_subtotal unknown
E3,3348,,,,,,NEEDS REVIEW: appears in real filings but not covered by any pure-addition validation rule found -- parent/is_subtotal unknown
E3,3349,,,,,,NEEDS REVIEW: appears in real filings but not covered by any pure-addition validation rule found -- parent/is_subtotal unknown
E3,3350,,,,,,NEEDS REVIEW: appears in real filings but not covered by any pure-addition validation rule found -- parent/is_subtotal unknown
E3,3363,(A) Of which Uninsured,,,,,NEEDS REVIEW: appears in real filings but not covered by any pure-addition validation rule found -- parent/is_subtotal unknown
E3,3368,,,,,,NEEDS REVIEW: appears in real filings but not covered by any pure-addition validation rule found -- parent/is_subtotal unknown
E3,3369,,,,,,NEEDS REVIEW: appears in real filings but not covered by any pure-addition validation rule found -- parent/is_subtotal unknown
E3,3370,,,,,,NEEDS REVIEW: appears in real filings but not covered by any pure-addition validation rule found -- parent/is_subtotal unknown
E3,3371,,,,,,NEEDS REVIEW: appears in real filings but not covered by any pure-addition validation rule found -- parent/is_subtotal unknown
E3,3378,,,,,,NEEDS REVIEW: appears in real filings but not covered by any pure-addition validation rule found -- parent/is_subtotal unknown
E3,3379,,,,,,NEEDS REVIEW: appears in real filings but not covered by any pure-addition validation rule found -- parent/is_subtotal unknown
E3,3380,,,,,,NEEDS REVIEW: appears in real filings but not covered by any pure-addition validation rule found -- parent/is_subtotal unknown
E3,3381,,,,,,NEEDS REVIEW: appears in real filings but not covered by any pure-addition validation rule found -- parent/is_subtotal unknown
E3,3382,,,,,,NEEDS REVIEW: appears in real filings but not covered by any pure-addition validation rule found -- parent/is_subtotal unknown
E3,3383,,,,,,NEEDS REVIEW: appears in real filings but not covered by any pure-addition validation rule found -- parent/is_subtotal unknown
E3,3384,,,,,,NEEDS REVIEW: appears in real filings but not covered by any pure-addition validation rule found -- parent/is_subtotal unknown
E3,3385,,,,,,NEEDS REVIEW: appears in real filings but not covered by any pure-addition validation rule found -- parent/is_subtotal unknown
E3,3386,,,,,,NEEDS REVIEW: appears in real filings but not covered by any pure-addition validation rule found -- parent/is_subtotal unknown
E3,3387,,,,,,NEEDS REVIEW: appears in real filings but not covered by any pure-addition validation rule found -- parent/is_subtotal unknown
E3,3388,,,,,,NEEDS REVIEW: appears in real filings but not covered by any pure-addition validation rule found -- parent/is_subtotal unknown
E3,3395,,,,,,NEEDS REVIEW: appears in real filings but not covered by any pure-addition validation rule found -- parent/is_subtotal unknown
E3,3396,,,,,,NEEDS REVIEW: appears in real filings but not covered by any pure-addition validation rule found -- parent/is_subtotal unknown
E3,3397,,,,,,NEEDS REVIEW: appears in real filings but not covered by any pure-addition validation rule found -- parent/is_subtotal unknown
E3,3398,,,,,,NEEDS REVIEW: appears in real filings but not covered by any pure-addition validation rule found -- parent/is_subtotal unknown
E3,3399,,,,,,NEEDS REVIEW: appears in real filings but not covered by any pure-addition validation rule found -- parent/is_subtotal unknown
E3,3400,,,,,,NEEDS REVIEW: appears in real filings but not covered by any pure-addition validation rule found -- parent/is_subtotal unknown
E3,3401,,,,,,NEEDS REVIEW: appears in real filings but not covered by any pure-addition validation rule found -- parent/is_subtotal unknown
E3,3414,(A) Of which Uninsured,,,,,NEEDS REVIEW: appears in real filings but not covered by any pure-addition validation rule found -- parent/is_subtotal unknown
E3,3419,,,,,,NEEDS REVIEW: appears in real filings but not covered by any pure-addition validation rule found -- parent/is_subtotal unknown
E3,3420,,,,,,NEEDS REVIEW: appears in real filings but not covered by any pure-addition validation rule found -- parent/is_subtotal unknown
E3,3421,,,,,,NEEDS REVIEW: appears in real filings but not covered by any pure-addition validation rule found -- parent/is_subtotal unknown
E3,3422,,,,,,NEEDS REVIEW: appears in real filings but not covered by any pure-addition validation rule found -- parent/is_subtotal unknown
E3,3429,,,,,,NEEDS REVIEW: appears in real filings but not covered by any pure-addition validation rule found -- parent/is_subtotal unknown
E3,3430,,,,,,NEEDS REVIEW: appears in real filings but not covered by any pure-addition validation rule found -- parent/is_subtotal unknown
E3,3431,,,,,,NEEDS REVIEW: appears in real filings but not covered by any pure-addition validation rule found -- parent/is_subtotal unknown
E3,3432,,,,,,NEEDS REVIEW: appears in real filings but not covered by any pure-addition validation rule found -- parent/is_subtotal unknown
E3,3433,,,,,,NEEDS REVIEW: appears in real filings but not covered by any pure-addition validation rule found -- parent/is_subtotal unknown
E3,3434,,,,,,NEEDS REVIEW: appears in real filings but not covered by any pure-addition validation rule found -- parent/is_subtotal unknown
E3,3435,,,,,,NEEDS REVIEW: appears in real filings but not covered by any pure-addition validation rule found -- parent/is_subtotal unknown
E3,3436,,,,,,NEEDS REVIEW: appears in real filings but not covered by any pure-addition validation rule found -- parent/is_subtotal unknown
E3,3437,,,,,,NEEDS REVIEW: appears in real filings but not covered by any pure-addition validation rule found -- parent/is_subtotal unknown
E3,3438,,,,,,NEEDS REVIEW: appears in real filings but not covered by any pure-addition validation rule found -- parent/is_subtotal unknown
E3,3439,,,,,,NEEDS REVIEW: appears in real filings but not covered by any pure-addition validation rule found -- parent/is_subtotal unknown
E3,3446,,,,,,NEEDS REVIEW: appears in real filings but not covered by any pure-addition validation rule found -- parent/is_subtotal unknown
E3,3447,,,,,,NEEDS REVIEW: appears in real filings but not covered by any pure-addition validation rule found -- parent/is_subtotal unknown
E3,3448,,,,,,NEEDS REVIEW: appears in real filings but not covered by any pure-addition validation rule found -- parent/is_subtotal unknown
E3,3449,,,,,,NEEDS REVIEW: appears in real filings but not covered by any pure-addition validation rule found -- parent/is_subtotal unknown
E3,3450,,,,,,NEEDS REVIEW: appears in real filings but not covered by any pure-addition validation rule found -- parent/is_subtotal unknown
E3,3451,,,,,,NEEDS REVIEW: appears in real filings but not covered by any pure-addition validation rule found -- parent/is_subtotal unknown
E3,3452,,,,,,NEEDS REVIEW: appears in real filings but not covered by any pure-addition validation rule found -- parent/is_subtotal unknown
E3,3460,(A) Of which Uninsured,,,,,NEEDS REVIEW: appears in real filings but not covered by any pure-addition validation rule found -- parent/is_subtotal unknown
M4,0563,Total assets,,1,true,,
M4,0639,Of which: which have the Bank of Canada or other organizations of the federal government as the counterparty,,1,true,,
M4,0640,Of which: which have the Bank of Canada or other organizations of the federal government as the counterparty,,1,true,,
M4,0657,Total liabilities and shareholders' equity,,1,true,,
M4,0910,[from validation rule IR1650] The total of assets held for trading must equal the sum of the individual components.,,1,true,,code from reference material not observed in loaded filings (may be retired/different vintage)
M4,0914,[from validation rule IR1651] The total of assets available for sale must equal the sum of the individual components.,,1,true,,code from reference material not observed in loaded filings (may be retired/different vintage)
M4,0918,Total,,1,true,,code from reference material not observed in loaded filings (may be retired/different vintage)
M4,0926,[from validation rule IR1654] The total of assets fair value option must equal the sum of the individual components.,,1,true,,code from reference material not observed in loaded filings (may be retired/different vintage)
M4,0930,[from validation rule IR1655] The total of liabilities held for trading must equal the sum of the individual components.,,1,true,,code from reference material not observed in loaded filings (may be retired/different vintage)
M4,0938,Total,,1,true,,code from reference material not observed in loaded filings (may be retired/different vintage)
M4,0965,[from validation rule IR1658] The total of liabilities fair value option must equal the sum of the individual components.,,1,true,,code from reference material not observed in loaded filings (may be retired/different vintage)
M4,1045,Total assets,,1,true,,
M4,2230,Total liabilities and shareholders' equity,,1,true,,
M4,2653,[from validation rule IR132] FIS adds to Total for Realized an unrealized Gain/(Loss),,1,true,,code from reference material not observed in loaded filings (may be retired/different vintage)
M4,2666,[from validation rule IR120] FIS adds across to Total for Debt Securities,,1,true,,code from reference material not observed in loaded filings (may be retired/different vintage)
M4,2667,[from validation rule IR121] FIS adds across to Total for Shares Securities,,1,true,,code from reference material not observed in loaded filings (may be retired/different vintage)
M4,2668,[from validation rule IR122] FIS adds across to Total for Debt Other Securities,,1,true,,code from reference material not observed in loaded filings (may be retired/different vintage)
M4,2669,[from validation rule IR123] FIS adds across to Total for Shares Other Securities,,1,true,,code from reference material not observed in loaded filings (may be retired/different vintage)
M4,2670,[from validation rule IR124] FIS adds across to Total for Non-mortgage loans,,1,true,,code from reference material not observed in loaded filings (may be retired/different vintage)
M4,2671,[from validation rule IR125] FIS adds across to Total for Mortgages,,1,true,,code from reference material not observed in loaded filings (may be retired/different vintage)
M4,2672,[from validation rule IR126] FIS adds across to Total for Customer's liability under acceptances,,1,true,,code from reference material not observed in loaded filings (may be retired/different vintage)
M4,2673,[from validation rule IR127] FIS adds across to Total for Other Assets,,1,true,,code from reference material not observed in loaded filings (may be retired/different vintage)
M4,2674,[from validation rule IR128] FIS adds across to Total for Fixed-term deposits,,1,true,,code from reference material not observed in loaded filings (may be retired/different vintage)
M4,2675,[from validation rule IR129] FIS adds across to Total for Acceptances,,1,true,,code from reference material not observed in loaded filings (may be retired/different vintage)
M4,2676,[from validation rule IR130] FIS adds across to Total for Subordinated debt,,1,true,,code from reference material not observed in loaded filings (may be retired/different vintage)
M4,2677,[from validation rule IR131] FIS adds across to Total for Other Liabilities,,1,true,,code from reference material not observed in loaded filings (may be retired/different vintage)
M4,7686,Made under Non-Mortgage Loans to Individuals for non-business purposes secured by residential property,,1,true,,code from reference material not observed in loaded filings (may be retired/different vintage)
M4,7687,Made under Non-Mortgage Loans to Individuals for non-business purposes secured by residential property,,1,true,,code from reference material not observed in loaded filings (may be retired/different vintage)
M4,7692,"Made under Mortgages, Residential",,1,true,,code from reference material not observed in loaded filings (may be retired/different vintage)
M4,7693,"Made under Mortgages, Residential",,1,true,,code from reference material not observed in loaded filings (may be retired/different vintage)
M4,7770,(a) Residential mortgages (equals section I (3)(b)(i) CAD only),,1,true,,code from reference material not observed in loaded filings (may be retired/different vintage)
M4,7777,(a) Loans to individuals for non-business purposes - secured by residential property (equals section I (3)(a)(vi)(A) CAD only),,1,true,,code from reference material not observed in loaded filings (may be retired/different vintage)
M4,7780,(a) Non-residential mortgages (equals section I (3)(b)(ii) CAD only),,1,true,,code from reference material not observed in loaded filings (may be retired/different vintage)
M4,7800,[from validation rule IR1706] Section I Memo - Loans to individuals for non-business purposes components add to foreign currency total,,1,true,,
M4,7801,[from validation rule IR1707] Section I Memo - Loans to individuals for non-business purposes components add to total,,1,true,,
M4,7818,[from validation rule IR1708] Section I Memo - Loans to individuals and others for business purposes components add to foreign currency total,,1,true,,
M4,7819,[from validation rule IR1709] Section I Memo - Loans to individuals and others for business purposes components add to total,,1,true,,
M4,0487,"Deposits with regulated financial institutions, less allowance for expected credit losses",0563,2,false,,
M4,0488,"Deposits with regulated financial institutions, less allowance for expected credit losses",1045,2,false,,
M4,0502,"Land, buildings, and equipment, less accumulated depreciation",1045,2,false,,
M4,0503,Contributed surplus,2230,2,false,,
M4,0509,"Gold, Bank notes, deposits with Bank of Canada, cheques and other items in transit",0563,2,false,,
M4,0510,Treasury Bills and other short term paper,0563,2,false,,
M4,0517,Debt,0563,2,false,,
M4,0518,Debt,1045,2,false,,
M4,0519,Shares,0563,2,false,,
M4,0520,Shares,1045,2,false,,
M4,0523,"To Canadian federal government, provinces, municipal or school corporations",0563,2,false,,
M4,0524,"To Canadian federal government, provinces, municipal or school corporations",1045,2,false,,
M4,0525,To foreign  governments,0563,2,false,,
M4,0526,To foreign  governments,1045,2,false,,
M4,0527,"Land, buildings, and equipment, less accumulated depreciation",0563,2,false,,
M4,0533,To individuals for non-business purposes,0563,2,true,,
M4,0534,To individuals for non-business purposes,1045,2,true,,
M4,0537,Other securities,0563,2,false,,
M4,0539,Insured,0563,2,false,,
M4,0540,Insured,1045,2,false,,
M4,0541,,0563,2,false,,
M4,0542,,1045,2,false,,
M4,0551,,0563,2,false,,
M4,0552,Insurance-related assets,0563,2,false,,
M4,0553,Accrued interest,0563,2,false,,
M4,0555,Prepaid and deferred charges,0563,2,false,,
